kills,damage_dealt,placement,healing_used,revives_given,headshots,assists,tier,plus_minus_points,game_type
9,968,31,850,3,18,4,Silver,50,Duo
12,1232,90,429,1,1,2,Ace,5,Squad
13,1519,39,917,0,3,9,Conqueror,50,Solo
14,124,100,703,3,0,7,Platinum,22,Solo
15,333,74,465,4,7,0,Silver,35,Duo
19,450,82,189,1,14,6,Gold,50,Squad
11,1270,90,978,2,5,3,Ace,13,Squad
5,738,13,239,0,7,4,Diamond,42,Solo
1,189,25,84,4,8,6,Silver,41,Solo
19,1786,36,290,1,18,1,Crown,50,Duo
4,414,73,445,1,13,5,Gold,18,Duo
4,838,35,963,2,4,1,Platinum,37,Squad
15,1981,53,743,2,17,3,Silver,50,Duo
5,1280,44,620,4,6,7,Bronze,50,Solo
18,1179,25,618,4,8,5,Bronze,50,Solo
5,1700,59,532,3,15,4,Platinum,24,Squad
12,472,60,307,4,17,1,Bronze,46,Solo
5,1768,19,508,1,10,4,Crown,50,Squad
9,1750,28,359,3,14,6,Bronze,50,Duo
8,340,35,243,2,13,5,Conqueror,50,Solo
1,313,39,140,3,1,0,Crown,10,Solo
1,751,79,146,2,15,3,Silver,12,Duo
17,1797,33,871,1,12,4,Conqueror,50,Squad
5,386,68,0,3,1,2,Conqueror,-20,Solo
14,451,22,473,3,19,8,Diamond,50,Squad
19,226,51,767,4,17,9,Crown,50,Squad
6,1169,35,330,2,9,4,Platinum,50,Duo
18,1917,74,694,2,14,3,Diamond,50,Squad
13,539,84,298,2,3,5,Ace,16,Solo
13,520,11,806,3,18,3,Gold,50,Duo
11,1464,42,627,1,15,1,Silver,50,Squad
6,497,1,327,2,5,8,Crown,50,Solo
12,54,87,813,0,13,1,Platinum,36,Duo
1,329,31,10,2,12,9,Silver,50,Squad
12,1375,20,141,2,7,9,Bronze,50,Duo
18,466,7,801,1,11,3,Ace,50,Duo
7,1001,39,803,4,18,9,Crown,50,Solo
0,1154,77,530,4,11,1,Silver,-4,Squad
3,1496,34,210,1,15,8,Gold,50,Duo
1,655,18,570,0,8,6,Crown,36,Duo
13,1480,80,629,0,19,3,Silver,50,Solo
19,1324,3,471,3,15,7,Bronze,50,Duo
11,436,85,69,1,2,7,Conqueror,9,Squad
7,418,4,605,3,0,2,Bronze,50,Squad
15,972,48,758,1,7,6,Bronze,50,Solo
14,945,88,602,2,6,4,Ace,25,Duo
13,792,5,33,3,19,9,Bronze,50,Duo
15,1824,78,753,3,16,5,Platinum,50,Duo
7,471,49,987,4,2,3,Ace,36,Duo
4,1699,26,58,2,16,7,Conqueror,50,Squad
6,609,65,843,3,3,0,Crown,-12,Duo
2,1432,10,771,1,3,7,Conqueror,50,Squad
19,1486,80,809,1,1,0,Gold,36,Squad
16,558,4,35,2,6,3,Bronze,50,Solo
3,651,44,101,3,2,0,Platinum,22,Solo
3,1531,85,107,2,5,8,Conqueror,-9,Solo
6,1009,89,352,2,5,6,Silver,11,Duo
19,1670,9,874,0,5,7,Bronze,50,Solo
17,885,13,955,2,16,6,Bronze,50,Squad
1,909,46,754,3,2,4,Crown,22,Squad
7,1128,1,338,2,10,2,Bronze,50,Squad
1,34,28,306,3,2,1,Conqueror,10,Squad
18,490,19,814,2,19,7,Ace,50,Duo
8,1934,13,934,2,8,1,Silver,50,Squad
11,882,10,281,1,15,2,Gold,50,Squad
14,188,4,843,3,18,9,Ace,50,Solo
5,551,4,456,4,5,5,Bronze,50,Solo
10,1561,40,933,4,6,7,Ace,50,Solo
17,1531,30,331,4,5,9,Silver,50,Squad
5,228,26,54,4,17,8,Bronze,50,Duo
2,954,74,719,0,11,2,Diamond,-2,Duo
19,1166,65,758,1,14,7,Silver,50,Duo
18,1993,75,725,2,6,6,Diamond,50,Squad
18,1937,22,404,3,19,8,Platinum,50,Squad
18,1259,23,300,4,4,0,Crown,50,Solo
2,572,11,743,4,13,5,Ace,50,Squad
5,1176,37,661,1,12,9,Bronze,50,Duo
14,743,80,533,1,11,0,Diamond,37,Squad
4,287,4,849,4,6,5,Crown,50,Duo
5,1166,4,828,4,13,8,Conqueror,50,Duo
7,260,60,537,0,7,9,Diamond,19,Squad
3,1883,77,778,0,2,1,Conqueror,-28,Duo
18,732,72,140,0,16,8,Silver,50,Squad
16,260,51,519,2,19,2,Silver,50,Solo
16,513,53,364,3,9,2,Ace,35,Duo
3,1420,73,691,3,4,2,Ace,-20,Squad
6,750,59,217,1,11,7,Bronze,31,Squad
12,543,13,483,4,16,9,Conqueror,50,Duo
7,1913,32,527,1,13,1,Conqueror,50,Squad
19,99,33,496,3,3,3,Bronze,50,Solo
9,753,36,317,1,1,7,Crown,44,Solo
2,1825,14,738,4,7,3,Platinum,34,Solo
2,1556,90,747,4,17,1,Gold,14,Duo
15,897,22,303,3,9,4,Silver,50,Duo
8,1038,74,847,3,2,0,Ace,-11,Squad
16,273,44,448,0,19,0,Bronze,50,Squad
11,11,91,827,0,10,5,Conqueror,25,Squad
10,238,76,613,2,19,3,Bronze,50,Squad
16,1189,98,59,3,1,9,Crown,34,Squad
6,1924,70,789,3,12,6,Platinum,20,Solo
9,1928,43,429,4,3,0,Ace,40,Duo
5,1681,85,329,1,12,2,Conqueror,2,Squad
9,1349,58,269,4,0,1,Conqueror,-12,Solo
15,1043,15,188,3,2,5,Crown,50,Solo
0,89,32,569,2,16,8,Platinum,50,Solo
8,1071,88,322,0,12,8,Crown,25,Solo
13,1809,98,913,1,1,1,Crown,8,Solo
1,1726,62,332,0,15,6,Crown,8,Duo
4,496,23,613,4,17,4,Crown,50,Squad
9,1860,54,692,2,17,5,Silver,50,Squad
0,1904,12,497,3,12,0,Crown,32,Duo
13,1284,83,354,2,7,6,Crown,30,Duo
10,1715,7,85,3,8,4,Platinum,50,Solo
16,555,35,915,4,12,4,Crown,50,Duo
1,1240,28,898,3,8,2,Diamond,32,Duo
18,430,46,407,2,3,6,Diamond,50,Duo
13,1065,29,735,2,10,5,Conqueror,50,Solo
13,1534,61,194,3,8,4,Platinum,33,Duo
10,1971,95,375,2,18,9,Ace,50,Squad
2,1153,24,36,2,1,1,Crown,17,Squad
16,448,57,831,1,8,2,Diamond,34,Solo
14,1114,59,990,0,11,8,Crown,41,Solo
5,1927,32,200,1,3,6,Diamond,41,Duo
8,1636,17,312,3,11,6,Platinum,50,Duo
0,313,77,627,3,18,8,Ace,13,Squad
14,1139,10,150,1,3,1,Gold,50,Solo
3,482,10,439,3,7,4,Gold,50,Squad
9,1720,42,242,1,8,7,Platinum,50,Duo
0,136,27,228,1,1,2,Platinum,14,Solo
10,1502,50,776,4,17,2,Gold,50,Duo
13,1303,14,878,4,15,7,Bronze,50,Squad
4,13,86,379,0,12,0,Diamond,3,Solo
6,342,47,402,1,9,0,Diamond,50,Squad
14,618,45,945,0,16,7,Silver,50,Solo
5,888,42,716,4,9,6,Crown,50,Duo
0,282,97,745,1,17,8,Gold,17,Solo
15,1801,77,524,0,9,6,Platinum,41,Solo
7,786,58,337,4,12,5,Silver,28,Duo
10,349,14,838,4,17,2,Ace,50,Solo
12,794,29,484,2,18,3,Ace,50,Solo
13,1645,56,536,4,8,6,Ace,30,Duo
0,559,23,26,3,16,6,Crown,46,Solo
1,1231,94,110,4,11,1,Ace,-10,Solo
2,1120,12,566,0,0,7,Platinum,28,Duo
3,490,58,530,0,10,9,Bronze,21,Squad
10,1726,75,363,4,2,7,Conqueror,5,Duo
11,669,45,613,1,13,9,Silver,50,Squad
8,1640,18,152,3,19,1,Conqueror,50,Squad
11,744,34,974,3,17,2,Silver,50,Duo
14,206,14,438,4,17,7,Ace,50,Duo
18,1709,45,166,0,16,2,Crown,50,Duo
8,467,1,677,3,12,9,Gold,50,Solo
16,671,29,512,2,8,3,Ace,50,Duo
16,672,100,367,3,10,6,Platinum,50,Squad
2,1902,4,742,0,17,3,Conqueror,50,Duo
18,87,38,230,0,8,2,Ace,50,Solo
9,1852,79,190,3,9,6,Platinum,25,Duo
10,1938,27,500,4,18,8,Silver,50,Solo
7,949,24,937,3,12,5,Silver,50,Solo
0,1024,72,335,0,19,0,Bronze,13,Solo
11,1225,56,985,0,13,1,Crown,31,Squad
19,683,73,859,1,0,7,Bronze,47,Duo
9,992,66,799,3,10,1,Silver,22,Solo
9,708,1,511,3,6,2,Ace,50,Duo
7,1685,21,586,3,5,6,Bronze,50,Duo
17,910,20,358,1,18,8,Platinum,50,Duo
9,590,27,690,1,10,2,Bronze,50,Duo
16,1949,12,9,4,14,2,Conqueror,50,Squad
17,1048,88,49,2,14,2,Bronze,50,Squad
8,948,94,855,0,17,4,Bronze,43,Duo
19,787,21,26,2,8,1,Bronze,50,Squad
8,989,8,736,0,16,9,Silver,50,Solo
5,389,56,175,3,1,5,Crown,-13,Squad
14,1186,61,12,2,2,9,Conqueror,21,Duo
6,849,74,444,3,5,1,Conqueror,-12,Duo
7,999,63,27,3,13,6,Diamond,23,Solo
15,1056,73,329,3,0,3,Conqueror,10,Solo
0,346,35,588,2,0,2,Bronze,18,Solo
9,1553,74,756,1,7,1,Silver,17,Duo
19,1042,13,75,0,14,4,Diamond,50,Solo
16,1665,70,246,0,1,7,Silver,34,Solo
18,856,31,625,3,4,3,Silver,50,Duo
5,969,5,27,2,10,3,Crown,50,Squad
1,750,23,88,3,18,2,Bronze,50,Duo
1,46,23,786,2,2,6,Silver,32,Duo
10,160,59,288,1,10,4,Bronze,37,Squad
13,896,62,966,2,18,6,Diamond,50,Solo
9,578,83,369,1,16,5,Gold,38,Solo
4,1777,13,678,4,19,1,Crown,50,Squad
7,1674,81,860,2,6,6,Gold,13,Solo
12,1364,78,850,1,6,6,Gold,28,Solo
13,502,9,150,0,4,5,Silver,50,Solo
4,954,6,521,4,5,5,Diamond,50,Squad
7,623,48,781,2,7,1,Gold,48,Solo
5,132,55,144,2,10,9,Gold,23,Squad
0,1439,8,593,4,14,0,Diamond,50,Squad
4,144,22,514,4,10,6,Gold,50,Solo
19,771,49,959,1,2,8,Ace,50,Squad
3,436,79,412,0,6,1,Platinum,-8,Solo
12,1156,43,110,3,8,7,Gold,50,Solo
16,1820,34,779,3,6,6,Ace,50,Squad
5,1116,50,88,1,19,9,Platinum,50,Squad
5,282,50,268,2,10,3,Diamond,46,Solo
16,1723,100,459,1,5,4,Ace,30,Duo
2,1666,88,116,0,17,2,Gold,17,Squad
9,223,34,457,3,19,0,Platinum,50,Squad
16,1588,31,377,0,11,2,Ace,50,Squad
11,234,46,499,3,6,4,Bronze,50,Duo
8,1496,76,720,4,0,0,Crown,-11,Solo
7,1208,8,718,2,1,5,Bronze,50,Solo
4,209,12,95,0,16,7,Platinum,50,Squad
4,1598,40,478,2,14,7,Gold,50,Duo
4,383,70,638,2,10,0,Diamond,-1,Duo
13,1762,49,230,1,4,3,Gold,50,Duo
10,452,59,543,3,11,6,Diamond,31,Duo
15,400,54,381,0,6,7,Gold,42,Duo
15,198,64,37,2,9,7,Gold,50,Squad
9,1802,26,594,1,12,1,Platinum,50,Solo
15,1928,11,69,1,6,9,Bronze,50,Duo
8,364,5,756,4,2,9,Bronze,50,Solo
5,1924,28,545,0,12,8,Gold,50,Solo
12,799,84,724,4,3,5,Crown,14,Solo
8,1176,90,497,3,17,5,Gold,36,Solo
15,9,51,25,2,8,6,Diamond,41,Duo
0,1371,28,582,1,14,8,Gold,50,Duo
10,1887,12,119,3,14,2,Conqueror,50,Solo
10,875,42,302,0,11,4,Gold,50,Squad
8,951,23,405,1,17,1,Diamond,50,Duo
19,102,98,149,0,5,1,Crown,34,Solo
6,725,6,919,0,3,6,Silver,50,Solo
7,1750,31,377,0,13,1,Bronze,50,Duo
2,1790,78,322,1,2,9,Silver,-4,Solo
5,139,37,905,3,9,6,Gold,50,Squad
7,1464,34,981,4,8,4,Ace,46,Solo
16,175,20,624,4,6,4,Bronze,50,Duo
2,1996,30,921,0,7,0,Platinum,32,Duo
6,1160,57,522,0,10,1,Diamond,7,Duo
13,1239,46,209,3,10,7,Diamond,50,Duo
16,1111,20,940,2,18,4,Ace,50,Squad
5,971,10,798,3,17,3,Diamond,50,Duo
18,677,61,943,0,15,5,Platinum,50,Solo
5,1257,64,730,0,15,0,Silver,22,Squad
6,1133,41,307,3,2,6,Silver,48,Duo
19,993,38,302,1,18,8,Crown,50,Squad
16,669,84,578,2,5,3,Gold,37,Duo
17,1613,18,34,2,16,1,Conqueror,50,Solo
16,720,90,355,4,12,5,Diamond,50,Squad
1,1277,51,576,3,10,7,Crown,-2,Duo
11,1073,20,692,0,1,5,Silver,50,Solo
7,1244,14,938,3,1,4,Crown,37,Duo
15,1920,5,249,4,4,7,Bronze,50,Solo
9,20,48,582,0,16,5,Diamond,50,Solo
17,488,61,667,0,13,2,Silver,50,Squad
1,792,91,70,4,13,6,Crown,3,Solo
18,623,14,227,4,9,7,Platinum,50,Duo
11,1176,65,743,0,8,9,Ace,28,Duo
4,1515,37,298,0,18,8,Conqueror,50,Squad
15,1957,1,369,4,18,5,Gold,50,Squad
16,1069,47,847,1,16,0,Silver,50,Solo
15,760,77,963,3,15,1,Bronze,50,Squad
15,100,91,846,3,16,8,Bronze,50,Duo
9,295,13,606,1,15,5,Silver,50,Squad
4,1554,62,98,0,12,7,Crown,14,Squad
4,1131,23,638,3,9,8,Silver,50,Solo
7,1888,97,962,1,14,5,Crown,26,Squad
5,1729,41,361,3,17,5,Platinum,50,Solo
10,1535,41,412,1,19,9,Ace,50,Squad
4,1349,98,450,4,12,4,Ace,5,Solo
19,798,10,148,3,9,9,Crown,50,Duo
0,933,41,575,1,6,9,Conqueror,31,Squad
3,897,32,764,2,10,2,Diamond,43,Duo
1,857,5,211,0,0,8,Platinum,50,Squad
3,1315,87,146,1,17,5,Bronze,28,Duo
3,1245,4,910,3,16,6,Diamond,50,Solo
15,1518,67,710,4,2,7,Gold,37,Squad
10,845,35,322,1,2,5,Platinum,50,Solo
5,71,72,480,3,7,8,Conqueror,1,Duo
16,701,75,929,4,18,7,Ace,50,Duo
7,521,45,885,1,14,8,Gold,50,Squad
13,1896,61,383,2,2,4,Platinum,18,Solo
18,1005,36,110,3,10,5,Platinum,50,Duo
17,1904,75,217,0,7,0,Platinum,37,Duo
13,1145,36,229,1,3,7,Ace,50,Squad
1,1434,3,288,4,1,1,Gold,45,Squad
16,960,22,827,3,3,6,Diamond,50,Squad
18,1679,44,786,4,16,3,Silver,50,Squad
14,531,34,349,2,10,5,Gold,50,Squad
7,1332,85,236,1,3,5,Diamond,2,Squad
15,158,61,978,4,10,9,Crown,50,Squad
13,769,94,509,1,16,6,Gold,50,Squad
4,541,5,938,0,15,0,Platinum,50,Squad
18,1401,30,182,1,0,5,Silver,50,Solo
3,1654,53,330,1,8,2,Conqueror,-13,Duo
19,1915,59,844,3,11,8,Silver,50,Duo
18,1661,88,740,0,9,1,Conqueror,34,Solo
10,18,74,277,4,18,9,Silver,50,Solo
7,1218,62,443,1,5,7,Bronze,18,Duo
14,1341,80,380,2,3,5,Silver,28,Solo
6,1387,22,808,0,4,8,Platinum,50,Squad
2,913,50,366,1,19,3,Gold,50,Squad
0,1398,60,402,3,17,9,Diamond,17,Squad
11,122,14,892,1,14,5,Conqueror,50,Solo
2,1888,87,229,2,7,3,Platinum,-7,Duo
4,1433,80,332,1,1,6,Bronze,-2,Solo
13,594,39,378,1,9,3,Ace,50,Solo
15,1688,12,847,0,2,2,Ace,50,Duo
9,586,84,482,1,0,8,Conqueror,-1,Duo
4,1337,31,793,3,19,3,Crown,50,Duo
19,1306,20,549,0,8,5,Platinum,50,Squad
9,843,70,16,0,5,3,Gold,12,Solo
12,1895,20,950,4,19,6,Gold,50,Squad
7,1394,33,966,2,19,1,Diamond,50,Squad
2,672,13,360,4,6,9,Conqueror,38,Squad
11,224,96,39,3,3,9,Bronze,28,Solo
16,1224,91,956,3,8,5,Crown,40,Duo
14,788,6,845,0,15,8,Bronze,50,Squad
19,1354,85,349,2,18,8,Gold,50,Solo
2,750,73,115,1,0,0,Ace,-31,Solo
4,1607,64,677,4,12,0,Gold,8,Squad
14,786,90,313,2,17,5,Crown,48,Solo
18,1103,59,820,0,11,2,Crown,50,Squad
10,1214,39,891,2,4,3,Conqueror,50,Squad
16,761,13,991,1,9,5,Silver,50,Duo
0,1829,23,735,1,11,0,Gold,33,Solo
2,997,53,662,0,12,3,Diamond,2,Solo
2,1484,42,83,3,18,5,Gold,50,Duo
17,704,72,123,3,12,7,Bronze,50,Squad
4,1660,44,94,4,19,1,Diamond,50,Solo
0,1764,49,860,0,5,5,Diamond,29,Squad
13,1328,56,230,1,16,5,Gold,50,Duo
9,966,81,389,3,2,0,Ace,-7,Duo
13,1939,30,562,0,5,5,Crown,50,Squad
8,345,67,845,3,8,8,Bronze,30,Duo
13,1235,28,941,1,14,5,Conqueror,50,Duo
9,1108,82,373,2,13,5,Bronze,36,Solo
4,1780,51,460,2,16,2,Conqueror,8,Squad
15,579,68,752,1,1,6,Bronze,34,Duo
5,591,75,878,0,19,3,Crown,22,Solo
9,1516,6,895,4,5,1,Diamond,50,Duo
5,702,40,658,0,8,5,Silver,50,Duo
6,733,98,565,1,8,4,Ace,4,Squad
4,463,56,328,2,6,6,Platinum,2,Solo
6,930,42,176,1,3,9,Gold,50,Duo
18,936,84,57,2,13,8,Bronze,50,Squad
10,481,60,792,0,7,8,Diamond,23,Solo
3,1330,62,886,2,2,8,Conqueror,-16,Duo
2,267,18,371,2,9,7,Gold,46,Solo
11,822,69,71,2,8,3,Diamond,23,Duo
9,846,12,914,2,19,5,Ace,50,Squad
13,1794,89,31,4,13,8,Silver,50,Duo
5,1149,54,241,0,8,6,Conqueror,0,Duo
14,1896,28,996,3,2,5,Gold,50,Solo
7,1031,20,477,3,15,3,Conqueror,50,Duo
1,1099,84,695,3,0,1,Crown,-30,Solo
6,426,7,17,4,5,6,Silver,50,Duo
17,562,94,417,2,13,1,Bronze,50,Solo
10,200,54,545,4,9,7,Platinum,28,Solo
11,741,43,356,2,9,9,Gold,50,Squad
8,1960,90,114,4,2,4,Crown,-1,Solo
18,1078,97,891,3,11,4,Diamond,50,Squad
4,5,24,426,1,5,9,Conqueror,43,Squad
14,440,30,393,2,5,1,Crown,50,Squad
17,636,7,643,0,15,7,Platinum,50,Duo
0,1716,67,3,3,13,1,Bronze,2,Solo
8,828,72,805,0,19,6,Crown,43,Squad
11,1014,32,193,4,8,6,Diamond,50,Duo
4,1661,55,753,3,19,7,Bronze,39,Duo
5,117,93,357,0,8,2,Crown,-1,Duo
1,579,88,346,0,13,4,Diamond,2,Duo
15,1435,58,633,0,16,0,Silver,50,Squad
3,14,24,799,2,8,2,Ace,31,Solo
9,816,6,438,0,2,7,Diamond,50,Solo
5,1988,23,410,1,7,0,Diamond,43,Squad
16,1381,90,892,0,9,9,Platinum,50,Squad
17,1945,74,829,0,17,6,Gold,50,Squad
1,580,13,235,3,11,9,Conqueror,38,Solo
9,1806,2,344,2,9,9,Diamond,50,Squad
2,198,29,283,4,13,5,Platinum,50,Squad
4,555,70,183,1,15,4,Ace,13,Squad
5,1330,66,812,0,6,1,Ace,-9,Duo
14,24,65,975,4,11,1,Ace,31,Duo
2,810,96,139,0,6,1,Platinum,-14,Squad
6,1441,84,555,1,5,1,Silver,3,Squad
3,1058,32,534,4,5,0,Bronze,37,Duo
4,350,15,155,4,13,0,Silver,50,Squad
5,1968,63,173,0,6,9,Crown,6,Duo
15,1659,69,0,0,3,9,Gold,36,Solo
7,346,99,83,4,10,1,Crown,8,Duo
8,1602,29,187,1,9,9,Gold,50,Squad
7,1738,88,192,2,19,4,Conqueror,28,Duo
9,303,63,183,0,19,1,Conqueror,26,Solo
6,1666,23,935,4,18,9,Diamond,50,Squad
11,1287,67,854,4,1,3,Gold,13,Squad
0,1596,10,994,0,5,6,Conqueror,47,Squad
7,1129,100,111,0,9,6,Conqueror,9,Duo
10,870,16,645,0,12,1,Crown,50,Squad
19,342,61,370,0,1,1,Diamond,30,Duo
16,1648,42,174,0,9,5,Platinum,50,Solo
9,1903,14,442,4,4,4,Diamond,48,Solo
4,1629,57,168,1,16,5,Platinum,25,Squad
19,1695,17,665,1,16,8,Conqueror,50,Squad
19,160,92,709,4,13,3,Diamond,50,Squad
16,1737,51,140,0,9,3,Silver,50,Squad
13,238,55,932,2,5,3,Ace,18,Duo
12,49,60,0,1,4,5,Gold,25,Duo
7,1290,63,96,0,2,9,Crown,4,Duo
11,1309,53,719,0,9,0,Diamond,20,Duo
7,1602,85,776,4,15,2,Ace,19,Duo
16,1736,16,143,2,15,9,Crown,50,Duo
17,1343,12,395,4,1,5,Silver,50,Squad
13,1238,59,768,2,6,1,Crown,21,Squad
13,989,86,109,4,0,8,Crown,18,Duo
13,1601,44,993,4,10,1,Silver,50,Solo
0,1646,37,792,4,4,8,Conqueror,20,Solo
1,1711,13,173,1,1,9,Platinum,30,Duo
8,349,58,911,2,14,3,Ace,21,Duo
1,1409,61,670,3,19,4,Ace,10,Solo
9,594,12,328,2,13,2,Crown,50,Duo
4,1593,49,662,1,14,1,Platinum,50,Solo
7,1687,27,273,2,15,5,Ace,50,Squad
5,692,99,222,0,16,8,Diamond,29,Duo
3,1281,20,608,4,3,1,Gold,33,Squad
6,48,47,202,4,4,6,Diamond,50,Squad
15,1672,62,828,4,1,8,Gold,36,Squad
5,400,24,188,4,19,9,Conqueror,50,Duo
10,1993,45,55,0,9,1,Gold,50,Duo
8,591,73,699,2,18,4,Conqueror,31,Squad
7,415,61,575,2,12,5,Bronze,33,Squad
3,1536,80,468,2,1,4,Gold,-14,Squad
10,1259,60,717,4,15,0,Silver,40,Squad
8,571,27,755,0,8,1,Gold,50,Squad
5,1216,84,174,3,7,1,Bronze,6,Solo
13,24,67,667,0,4,4,Platinum,26,Squad
4,996,28,803,4,18,8,Conqueror,50,Duo
1,616,9,947,2,19,7,Silver,50,Solo
19,225,41,354,1,8,1,Crown,50,Squad
11,1255,79,806,0,1,5,Silver,19,Squad
11,984,67,812,0,13,1,Ace,26,Duo
0,1725,19,93,0,8,8,Gold,43,Duo
13,1563,6,71,4,9,8,Silver,50,Solo
13,1821,27,591,3,0,4,Platinum,50,Duo
4,1316,17,216,1,0,0,Bronze,30,Duo
2,604,88,225,2,18,0,Silver,15,Solo
16,1096,36,932,0,12,1,Ace,50,Squad
7,12,42,989,2,0,9,Silver,50,Squad
10,1059,66,894,4,19,0,Silver,41,Solo
3,1360,73,580,3,19,2,Gold,25,Squad
19,605,26,775,1,16,1,Silver,50,Duo
6,287,21,248,4,8,4,Crown,50,Duo
11,573,65,917,4,1,7,Diamond,14,Duo
7,839,39,243,1,13,6,Silver,50,Solo
2,1768,90,945,1,15,9,Diamond,16,Solo
9,930,45,690,4,18,4,Platinum,50,Squad
6,620,2,681,2,5,1,Platinum,50,Solo
7,1482,43,689,4,0,9,Crown,43,Duo
8,1804,4,636,3,15,7,Ace,50,Solo
12,463,24,579,0,1,3,Bronze,50,Duo
17,1744,25,813,3,3,6,Bronze,50,Solo
13,1681,35,992,3,9,3,Conqueror,50,Solo
12,1610,20,623,0,16,8,Platinum,50,Solo
10,366,68,601,1,9,6,Crown,26,Squad
17,517,44,948,2,4,5,Platinum,50,Duo
13,925,16,18,0,15,0,Gold,50,Duo
17,381,30,3,2,5,7,Diamond,50,Duo
16,1722,97,722,0,14,0,Bronze,50,Duo
16,166,41,519,0,14,4,Gold,50,Solo
19,480,81,52,1,18,2,Silver,50,Duo
17,1109,42,174,2,8,3,Gold,50,Squad
17,79,75,288,4,1,8,Gold,36,Solo
2,283,50,512,0,12,7,Diamond,50,Duo
9,732,65,283,3,8,5,Silver,28,Squad
0,212,22,998,1,17,7,Diamond,50,Solo
11,345,97,564,2,15,1,Bronze,43,Duo
9,1029,99,769,2,2,1,Bronze,8,Duo
0,1486,9,459,3,11,4,Silver,50,Duo
1,1938,41,256,0,14,1,Crown,45,Squad
1,1260,33,837,2,1,2,Silver,21,Solo
11,422,68,525,0,2,4,Bronze,22,Squad
11,983,97,405,3,9,0,Conqueror,12,Duo
1,1131,52,64,2,6,9,Crown,-6,Solo
1,424,92,14,1,2,3,Diamond,-22,Solo
0,1652,20,455,2,9,5,Gold,40,Duo
19,1673,99,627,0,3,7,Crown,42,Duo
14,1657,68,393,3,5,1,Conqueror,16,Squad
0,320,66,110,1,2,2,Platinum,-26,Duo
4,881,73,214,4,15,9,Conqueror,17,Duo
14,1704,65,606,4,11,9,Gold,50,Duo
1,1969,45,994,0,0,3,Gold,22,Squad
4,126,81,127,2,16,9,Platinum,26,Solo
15,688,51,926,3,17,4,Gold,50,Squad
18,1081,46,314,2,9,4,Conqueror,50,Solo
12,1902,11,802,2,0,2,Ace,50,Squad
1,1641,19,336,1,14,6,Ace,47,Duo
13,846,2,35,2,7,1,Bronze,50,Squad
15,194,59,443,0,4,6,Platinum,34,Duo
14,852,39,300,4,8,4,Silver,50,Squad
17,1111,31,998,3,18,5,Conqueror,50,Squad
1,982,32,156,3,16,4,Crown,46,Solo
11,261,89,236,4,17,7,Bronze,50,Solo
13,1192,54,450,0,12,7,Crown,42,Duo
18,1436,13,227,2,2,5,Bronze,50,Duo
0,1644,49,59,0,5,4,Silver,29,Solo
10,338,97,323,4,11,7,Gold,37,Duo
5,1831,10,164,1,13,0,Platinum,50,Duo
17,1703,63,139,4,15,1,Ace,50,Duo
8,1347,80,156,3,0,5,Crown,-4,Duo
5,929,94,281,4,17,4,Platinum,26,Duo
19,51,45,640,4,2,0,Platinum,50,Squad
11,717,37,760,4,9,3,Gold,50,Squad
8,1983,76,288,1,2,9,Platinum,13,Squad
10,344,75,801,2,15,4,Ace,35,Squad
13,1051,77,217,0,18,2,Bronze,50,Squad
10,1511,43,157,4,1,2,Ace,46,Squad
9,191,79,905,0,6,1,Conqueror,0,Solo
5,1961,24,880,2,8,2,Crown,43,Duo
4,470,12,184,4,18,3,Crown,50,Squad
8,241,95,390,3,10,3,Conqueror,10,Squad
4,1657,2,477,4,7,0,Platinum,50,Squad
7,54,42,148,2,14,8,Diamond,50,Duo
17,1064,69,525,3,16,9,Platinum,50,Solo
5,1880,59,327,4,15,4,Diamond,22,Squad
15,1420,62,944,0,10,8,Platinum,46,Solo
13,1404,35,744,2,17,3,Ace,50,Squad
9,1277,100,666,4,8,0,Crown,8,Solo
15,1853,9,885,2,4,7,Crown,50,Squad
10,695,67,299,2,3,6,Crown,11,Duo
14,91,17,956,0,9,3,Crown,50,Squad
2,1690,4,49,4,8,2,Crown,50,Solo
17,1816,8,487,0,8,4,Conqueror,50,Duo
6,366,3,845,3,7,6,Silver,50,Squad
5,1683,89,510,3,3,6,Crown,-5,Solo
19,1096,87,706,2,11,1,Silver,50,Squad
10,1495,20,14,3,5,1,Conqueror,46,Duo
0,1010,36,885,4,7,3,Bronze,34,Solo
7,232,80,588,0,7,9,Platinum,21,Squad
8,1982,12,39,4,0,8,Ace,43,Duo
8,106,27,496,1,18,5,Gold,50,Duo
11,1434,9,570,0,10,1,Gold,50,Squad
17,1475,73,961,1,12,3,Crown,50,Squad
2,1867,29,322,1,18,5,Diamond,50,Solo
9,654,78,152,2,8,0,Conqueror,3,Duo
11,388,7,454,1,14,0,Diamond,50,Solo
14,345,45,921,1,8,1,Silver,50,Duo
15,1138,84,646,2,10,2,Gold,39,Solo
6,1456,96,517,0,14,9,Conqueror,23,Squad
19,1860,68,457,1,14,2,Silver,50,Squad
15,389,67,206,2,9,6,Bronze,50,Squad
8,68,10,206,1,15,6,Bronze,50,Solo
9,597,74,236,1,15,5,Conqueror,29,Squad
17,1503,16,597,0,8,2,Crown,50,Solo
9,1337,9,336,3,19,6,Crown,50,Duo
1,976,88,771,1,15,1,Conqueror,-6,Solo
0,1027,78,941,2,16,3,Gold,8,Solo
17,467,64,507,1,2,7,Conqueror,26,Solo
